title,handle,street,suburb,city,province,country,zip,phone,website,instagram_handle,tags,group,place_id,lat,long
Coffee Supreme Gibbon Street,gibbon-street,3c Gibbon St,Woolloongabba,Brisbane,,AUSTRALIA,4102,1800 232 671,https://www.coffeesupreme.com/,coffee_supreme_bne,"cafe,stockist",Australia,ChIJ4YBz0RRakWsREPnjwxmN24I,-27.487215,153.035188
Coffee Supreme Abbotsford,abbotsford,28-35 Grosvenor Street,Abbotsford,Melbourne,,AUSTRALIA,,1801 232 671,https://www.coffeesupreme.com/,theabbotsfordclub,"cafe,stockist",Australia,ChIJLbC7N1VC1moRsxcEIQwt5DE,-37.808845,145.007067
Coffee Supreme Welles Street,welles-street,10 Welles Street,Christchurch Central,Christchurch,,NZ,8011,03 365 0445,https://www.coffeesupreme.com/,coffee_supreme_chch,"cafe,stockist",New Zealand,ChIJLY3LgReKMW0RQxyFuvo0lRw,-43.536791,172.637672
Coffee Supreme Customs,customs,39 Ghuznee Street,Te Aro,Wellington,,NZ,6011,04 385 2129,https://www.coffeesupreme.com/,customsbrews,"cafe,stockist",New Zealand,ChIJLXv2zdmvOG0R6kwX9B7jFsQ,-41.293558,174.776247
Coffee Supreme Midland Park,midland-park,31 Waring Taylor Street,Wellington CBD,Wellington,,NZ,6011,0800 472 518,https://www.coffeesupreme.com/,coffee_supreme,stockist,new Zealand,ChIJ22_3OiuuOG0RC1kCDZpg0fg,-41.281994,174.777093
Coffee Supreme Hopper Street,coffee-supreme-hopper,35 Hopper Street,Mt Cook,Wellington,,NZ,6011,0800 937 627,https://coffeesupreme.com/,coffee_supreme,stockist,New Zealand,ChIJhSaVZN-vOG0R3AzA3-xML_Y,-41.2993949,174.7739738
Alley Katz,alley-katz,358 Hibiscus Coast Highway,Orewa,Orewa,,NZ,0931,09 426 0548,https://www.facebook.com/AlleykatzCafeCatering/,,cafe,New Zealand,ChIJYarGLQQkDW0RjyPhtlSQ5y8,-36.5857801,174.6955277
Ash's Kitchen,ash-s-kitchen,"Level 15, 180 Molesworth Street",Wellington,Wellington,,NZ,6011,04-474 9499,https://www.facebook.com/pages/category/Restaurant/Ashs-Kitchen-1522209231365723/,,cafe,New Zealand,EkJMZXZlbCAxNS8xODAgTW9sZXN3b3J0aCBTdCwgVGhvcm5kb24sIFdlbGxpbmd0b24gNjAxMSwgTmV3IFplYWxhbmQiJBoiChYKFAoSCZMx864orjhtETP3p_1DnSCCEghMZXZlbCAxNQ,-41.2734527,174.7781431
Baker Gramercy,baker-gramercy,470 Adelaide Road,Wellington,Wellington,,NZ,6023,04 389 5272,http://www.gramercy.co.nz/,bakergramercy,cafe,New Zealand,ChIJv9zTTP6vOG0RSw8QWfZ_gIU,-41.3204001,174.7751004
Barretta Espresso,barretta-espresso,"7/59 Pitt Street,Beresford Square",Auckland,Auckland,,NZ,1010,09 309 2365,https://www.facebook.com/barrettaespresso/,,cafe,New Zealand,ChIJE33ZbelHDW0RInoJ7AKwMYA,-36.8568419,174.758669
Beach House and Kiosk,beach-house-and-kiosk,410 The Esplanade,Wellington,Wellington,,NZ,6023,04 383 5108,http://www.beachhouseandkiosk.co.nz/,beachhouseandkiosk,cafe,New Zealand,ChIJRfGIUs-6OG0RTkI5-HHWgBk,-41.3475436,174.7634965
Barbarino's,barbarinos,1790A Great North Road,Avondale,Auckland,,NZ,1026,,http://www.barbarinos.co.nz/,https://www.instagram.com/barbarinos_spaghetteria/,cafe,New Zealand,ChIJUUL2U5VHDW0RGLyIGOhviCM,-36.891593,174.696688
Big Sur,big-sur,432 Richmond Road,Auckland,Auckland,,NZ,1021,09 361 6196,https://www.bigsur-greylynn.co.nz/,,cafe,New Zealand,ChIJHcMrTnVHDW0RiczRI5NUSUk,-36.8585972,174.7308886
Billy Cafe,billy-cafe,79 Carlton Gore Road,Auckland,Auckland,,NZ,1023,09 302 0995,http://billycafe.co.nz/,billy_cafe,cafe,New Zealand,ChIJ7WENb99HDW0RFonG13DrBFU,-36.864932,174.7728886
Bluebells Cakery - Hillsborough,bluebells-cakery-hillsborough,161A Hillsborough Road,Auckland,Auckland,,NZ,1042,09 624 0952,https://bluebellscakery.com/,bluebellscakery,cafe,New Zealand,ChIJKS3N_wtGDW0RrIIU_Z7JVuA,-36.9194469,174.7578012
Bluebells Cakery - Kingsland,bluebells-cakery-kingsland,361 New North Road,Auckland,Auckland,,NZ,1021,09 377 3429,http://bluebellscakery.com/,bluebellscakery,cafe,New Zealand,ChIJvSn0icFHDW0RfScaswUI8o4,-36.8692886,174.7491735
Bohemein Fresh Chocolates,bohemein-fresh-chocolates,109 Featherston Street,Wellington,Wellington,,NZ,6011,09 499 79 13,http://www.bohemein.co.nz/,,cafe,New Zealand,ChIJ13eqRSuuOG0RQaJ1Sl5QW50,-41.2822349,174.7777367
Brown Sugar Cafe,brown-sugar-cafe,1 Huia Street,TAIHAPE,TAIHAPE,,NZ,4720,06 388 1880,https://www.facebook.com/brownsugarcafetaihape/,,cafe,New Zealand,ChIJWQ3SaCNvam0RToJp4NOu0PA,-39.6769376,175.797619
Bucklands,bucklands,83B Hattaway Avenue,Auckland,Auckland,,NZ,2012,09 533 7810,,,cafe,New Zealand,ChIJxS8UXvNKDW0ROpTnDZYPP3A,-36.8681156,174.9040449
Bus Stop,bus-stop,55 Sims Road,Te Horo,Te Horo,,NZ,5581,021 650 636,https://www.facebook.com/pages/Bus-Stop-Caf%C3%A9/1923797187907035,,cafe,New Zealand,ChIJmxwO2u2ZQG0RNA2LuggrBME,-40.7856355,175.0904848
Cafe Breton,cafe-breton,20 Brandon Street,Wellington,Wellington,,NZ,6011,04 473 6576,http://www.cafebreton.co.nz/,cafebreton,cafe,New Zealand,ChIJp6dxztSvOG0Rrd-BnmJTJi4,-41.2833002,174.7767039
Cafe Flows,cafe-flows,40 Mercer St,Wellington CBD,Wellington,,NZ,6011,021 203 1362,,,cafe,New Zealand,ChIJ96T-si-vOG0R9XxpmN82RpE,-41.288024,174.775969
Cafe Mirabelle,cafe-mirabelle,31 High Street North,Carterton,Carterton,,NZ,5713,06 379 7247,https://www.facebook.com/pages/category/French-Restaurant/Cafe-Mirabelle-Carterton-294866593966356/,,cafe,New Zealand,ChIJaT_OYfrZQG0RJgcW5e6wI-k,-41.0244702,175.5277037
Cafe Neo,cafe-neo,132 Willis Street,Wellington,Wellington,,NZ,6011,04 385 9553,http://www.neocafe.co.nz/,cafe_neo,"cafe,stockist",New Zealand,ChIJQ3tQOdavOG0RBjkD4TvxiAc,-41.2894575,174.7743433
Cafe Terra Viva,cafe-terra-viva,196 Roydvale Avenue,Christchurch,Christchurch,,NZ,8053,03 358 5565,http://cafe.terraviva.nz/,terravivacafe,cafe,New Zealand,ChIJ99yvjzWLMW0RUe3qKNqdRNw,-43.4920742,172.5653857
Cafe Villa,cafe-villa,61 Ottawa Road,Wellington,Wellington,,NZ,6035,479 5707,http://www.cafewellington.co.nz/,,cafe,New Zealand,ChIJY96fHgKuOG0Rf_SxbumLQn4,-41.2480253,174.7743123
Cahoots Cafe,cahoots-cafe,97 Main Street,Greytown,Greytown,,NZ,5712,06 304 8480,,,cafe,New Zealand,ChIJ4RN8nbfRQG0Rf2ydz59dwbQ,-41.0803794,175.4607472
Castle Rock,castle-rock,21 Mary Muller Drive,Christchurch,Christchurch,,NZ,8022,03 384 5263,https://www.facebook.com/Castlerockcafechch/,castlerockcafechch,cafe,New Zealand,ChIJdRvt6HcnMm0RId0QxkjA_dI,-43.5679175,172.6908081
Charlie Boys Coffee Bar,charlie-boys-coffee-bar,167 Great North Road,Auckland,Auckland,,NZ,1021,09 376 4585,,,"cafe,stockist",New Zealand,ChIJSyvBjb5HDW0RriCtLtq7eIE,-36.8630994,174.7482755
